word,frequency,example_sentence
あわ,1,ああわかった。
あわせれ,1,味方の「マジックセイバー」などとあわせれば後列の撃破は容易になる。
あーん,1,あーん、ちょっと狙ってたのに。
あーー,1,たあーー。
いいや,1,いいや、違う。
いえよう,1,無謀にも思えたがやり遂げたかこの結果ならば充分といえよう。
いえる,1,ほうこれは好機といえるか。
いかせる,1,馬鹿にされたものだなそう簡単にいかせるか。
いかん,1,今、邪魔されるわけにはいかん。
いがみ合っ,1,元はいがみ合ってた俺たちも今は大事な仲間だ。
いきまい,1,兵の話ではコルニアの手は借りないそういきまいていたと。
いさかい,1,竜にもこんないさかいがあるのかと驚いたが、同時に怒りが湧いた。
いざというとき,1,任せてください、いざというときは俺の剣捌きを披露しましょう。
いじいじ,1,助かるよ人と話す前にいじいじと頭を悩ませてしまうタチでね。
いじめっこ,1,んで今ではこうさいじめっこどもをいつでも返り討ちにできる力を得た。
いじらし,1,このいじらしさそして軍をお一人でまとめる強靭な意志と才覚。
いじらしい,1,どうかしら反応がいじらしいとか近くで見ていたいとは思うけど。
いた,1,いたか。
いたく,1,い、いえ敵の持つ槌に注意を願いたく。
いたたまれ,1,僕の功績なんて兄さんには遠く及ばなくてただ、いたたまれない。
いただか,1,ああいった局面では真っ先に見捨てていただかなければ。
いただけれ,1,はい、私に掴まっていただければ。
いたっ,1,騎士団にいたって。
いたわしい,1,ああ、おいたわしいことそれでも私はお祈りを捧げます。
いちおう,1,他人同士の関係とはそういうことだいちおう覚えておけ。
いっぱし,1,ふん、盗賊が訓練かいっぱしに兵の真似事かね。
いとい,1,非などないというのに。
いとま,1,都を解放しないとまた新たに兵がやってくる。
いとも,1,奴はいとも容易くワシの仲間を斬り伏せおった。
いどう,1,いったいどうしたんだ。
いな,1,甘いな。
いみ,1,やっぱり誰もいないみたいね。
いらっしゃっ,1,殿下、義勇軍の方がリア殿との面会を求めていらっしゃっています。
いり,1,娘を連れてまいりました。
いりゃあ,1,生きていりゃあ、たぶんな。
いわ,1,近いわよ。
いー,1,おじさんのおなかとってもおっきいー。
うお,1,うお。
うかうか,1,アタイもうかうかしてられないね。
うけ,1,殿下が啓示をうけたエルヘイムは南西にあります。
うしろ,1,レックス、お前も危険を感じたら私のうしろに引くのだ、よいな。
うすうす,1,そりゃあうすうすは気づいてたけどさ。
うずい,1,そうずいぶんと器が大きいのね。
うずうず,1,アタイだって強い奴と出会いたくてうずうずしてたんだからね。
うずき,1,俺は君が古傷のうずきに独りで耐えるのを想像したくないんだ。
うずくまっ,1,おい、そこのやつなんでうずくまってる。
うぜえ,1,ガキのころは説教食らってばかりでうぜえ婆さんだったが。
うそ,1,お、おうそうか。
うたた寝,1,今日こそ川辺でうたた寝していたのを夜盗にやられたことにしたいと思う。
うだる,1,まぁ、いいさこのうだるような暑さじゃ頭もまともに動かないしね。
うち捨て,1,破城槌や投石機もうち捨てられてそのままになっているのさ。
うっとおしい,1,ったく、元々うっとおしいくらい気を遣ってくるやつだったけど。
うで,1,そうですか。
うに,1,実の娘のようにな。
うば,1,うばやっぱりアレインのこと狙ってるの。
うふ,1,うふふ。
うま,1,うまいぞ。
うまみ,1,黄身がとろけて25お肉のうまみと25ほのかに甘いパンが合わさって。
うめ,1,うめぇ。
うらやましい,1,そそれは悩ましいですねですが、少しうらやましいです。
うる,1,うるせぇ。
うろたえ,1,ふふ、うろたえちゃってかわいいわね。
うわぁーーーーーー,1,うわぁーーーーーー。
うわあ,1,うわあ。
うわあっ,1,うわあっ。
うんと,1,そこは、元気よくうんと返事してほしかったです。
うー,1,うーん。
えいえい,1,えいえい。
えいや,1,えいやしかし今さら。
えぇぇ,1,めえぇぇ。
えっとー,1,えええっとー英雄だなんてて、照れますね。
えつ,1,えつ、釣りの方、かな。
えらい,1,おいおいどえらいことが起きちまったんじゃねえのか。
えん,1,増援か終わりが見えんな。
えーっ,1,えーと、えーっと。
えーっと,1,えーと、えーっと。
えーと,1,えーと、えーっと。
おいそれと,1,反乱軍においそれと明け渡すわけにはいかないのよ。
おいっ,1,おいっ、クライブちゃんと飲んでんのかー。
おいよ,1,お、おいよせ、こんな。
おぅ,1,おぅ、安心しろい町はちゃんと守ってやっからよ。
おうじ,1,お、おうじからだが冷えてきました。
おおせる,1,そう上手くやりおおせると思うなら見くびられたもんだなぁアレイン。
おおっと,1,おおっと、同情なんかすんじゃねえぞ変に気ィ使われんのは嫌なんだよ。
おおよそ,1,なるほどおおよその見当はついた。
おかし,1,本当におかしな人。
おかしかっ,1,アルビオンに来てから様子が二人ともおかしかったからな。
おごる,1,周りがあんな調子じゃおごるのも時間の問題かと思ったが。
おさまっ,1,ふぅおさまったな。
おさめ,1,民は、この戦乱をおさめ平和をもたらすものを待ちわびている。
おし,1,それが狂おしいほど私を憤らせている。
おせえ,1,おめぇは行動がいつもおせえんだよ。
おそれ,1,おおそれは頼もしいですな私の主も似たようなことがありました。
おちおち,1,さっきの一幕を見たあとだとおちおち放っておけない気がしてな。
おっかない,1,そのでかい槌は見てるだけでもおっかないけどさ。
おっかねえ,1,またシャロンさんに助けられたなおっかねえ人に目ぇつけられちまった。
おっき,1,おじさんのおなかとってもおっきいー。
おっとっと,1,おっとっと難しいなうわっ。
おとうさん,1,おとうさんがねコワイ人はもういないから。
おとぎの国,1,まるで、おとぎの国のようでしたわ。
おとな,1,おとなの人たちがわたしのこと、むかえに来てくれたの。
おどおど,1,ふうさっきの鶏たちさ川の傍でおどおどしてたんだ。
おなか,1,おじさんのおなかとってもおっきいー。
おにいちゃん,1,おにいちゃんがおうちをなおしてくれたの。
おねがい,1,行っておねがい。
おのずと,1,実力などおのずとついてくるものだだが忠誠心はそうもいかぬ。
おはよう,1,エルトリンデ、おはよう。
おはようございます,1,おはようございます、アレイン様本日も一日よろしくお願いいたします。
おびただしい,1,そこにおびただしい数の毒薬やゼノイラ軍の武具があったって。
おぼつかない,1,たしかに手元がおぼつかない時期があった。
おめぇ,1,おめぇは行動がいつもおせえんだよ。
おもしろ,1,これはおもしろい。
おもしろい,1,これはおもしろい。
おやじ,1,こんのクソおやじ。
おやすみ,1,ああ、わかったそれじゃあダイナ、おやすみ。
おやすみなさい,1,ええ、もちろんですおやすみなさい、メリザンド様。
およそ,1,なるほどおおよその見当はついた。
おろか,1,どの家も金目の物はおろかまともな食い物すら見あたらない。
おんなじ,1,私みたいな素人にはどれもおんなじに見えるけど。
お上,1,顔に似合わずお上手なんですよね。
お上手,1,顔に似合わずお上手なんですよね。
お出まし,1,ふふようやくお出ましね、反乱軍。
お初,1,ギルベルト王お初にお目にかかる。
お嬢ちゃん,1,おぉ怖い怖いそう怒るでないぞお嬢ちゃん。
お子さん,1,人様のお家に転がり込んでその家のお子さんと遊んでいたり。
お手の物,1,それに引きかえ、ユニフィは幼いのに木登りや遠吠えもお手の物だったな。
お日様,1,キノコって、お日様がなくても育つんですご存知ですか。
お節介,1,お節介かもしれねえがご家族に会ったらあんたは元気だって伝えとく。
お見舞,1,私たちは「グリフォンナイト」騎馬兵へ強力な一撃をお見舞するわ。
お転婆娘,1,お転婆娘を心配する親みたいだぜ。
お邪魔,1,すみませんでしたお仕事中にお邪魔してしまって。
かいくぐり,1,メリザンド国に平穏が訪れると、副官の目をかいくぐりコルニア王に求婚するべく日々王宮に通った彼女の願いが叶うことはなかったが王宮晩餐会で披露する彼女の剣舞はその美しさと力強さから評判となり多くの賓客の心を奪ったという。
かいくぐれ,1,私なら敵の目をかいくぐれます。
かえって,1,かえって心配になる危機感が薄いのではとな。
かえる,1,私も、次に竜騎兵と相対したとき怯えずに立ち向かえる気がしてきた。
かかろう,1,女どもが束になってかかろうと俺様は止められんぞ。
かぎり,1,すげぇ本当にあの絵本と同じ見渡すかぎり水だ。
かくっ,1,しかも酒代かくっ飲み過ぎで作戦に支障をきたすなよ。
かくまわ,1,ァージニアがドラケンガルドでかくまわれている間。
かくれ,1,長髪のお兄ちゃんがやってきてここにかくれていなさいって。
かけあっ,1,バレちゃったわねそう、あなたの周辺警護を方々にかけあっていたのよ。
かけれ,1,なんだ、用があるなら声をかければいいじゃないか。
かけ離れ,1,人とかけ離れた存在である獣人に降霊術は通じない。
かげろう,1,そうは見えないがお前の周りにかげろうが見えるぞ。
かこつけ,1,砂漠じゃ貴重品ってことにかこつけて法外な値段をつけられることがある。
かしこ,1,かしこまりました。
かしこまっ,1,そんなかしこまって若いころを知られていると、バツが悪いのかい。
かしこまる,1,幼いころから一緒に過ごしてきたんだかしこまる必要はないさ。
かすか,1,多くの部隊をどう動かすか腕の見せどころだぜ、がんばれよ。
かすま,1,くそ、ここまでかすまないが退かせてもらう。
かすめ,1,剣士殿、急ぐあまり馬体をかすめた非礼をお詫びするわ。
かぞえる,1,お父さんと一緒に行商してるの私は荷物の数をかぞえる係。
かた,1,それもしかたのないこと。
かたじけない,1,かたじけない私もアレイン殿から統治者の心構えを学びたいものだ。
かっさらっ,1,心配しなくとも、解放軍の備蓄からかっさらったわけじゃあないよ。
かな,1,何かな。
かなめ,1,対してこちらもこの砦が最後のかなめです。
かねる,1,にわかには信じかねるな。
かぶっ,1,お主の冠をかぶった姿が嬉しくて仕方がないのだろう。
かぶりつき,1,そのままかぶりつきな。
かまい,1,かまいやしねぇ。
かよう,1,女王陛下と死地に赴いたお前がかように堕ちてしまうとは。
からぁ,1,だからぁ殿下はやっぱすごいお人だなって、思うんだよ。
からがら,1,命からがら逃げ出したさ傭兵やめて、採掘師にでもなろうかな。
からだ,1,まだまだこれからだからな。
かわい,1,あこれかわいい。
かわいく,1,おかげで男勝りな性格になってよ生意気でちっともかわいくねぇ。
かわせ,1,先遣隊を聖堂に向かわせろ。
か国,1,あとで付き合ってくれるか国王様よ。
か弱い,1,編成の基本は、前方で守りを固め後方にか弱い者や主力を置くことです。
か月,1,もう数か月も拝謁が叶わぬ。
がぁ,1,この僕が僕がぁ。
がたし,1,ベレニスがたしかにその意外だ。
がっつく,1,おいおい40そんなにがっつくと喉に詰まるぞ。
がふ,1,王族かそれこそアレインがふさわしい器だろう。
がま,1,だがまぁいい夢を見れたぜ。
がましい,1,下等な人間ごときが実におこがましい。
がめつく,1,がめつくて有名なお前が貸した金を忘れるわけねぇ。
きか,1,どう動くべきか。
きたす,1,しかも酒代かくっ飲み過ぎで作戦に支障をきたすなよ。
きたる,1,きたるべき祖国奪還の戦いに備え今は力を蓄えたい。
きつい,1,おい、冗談きついぜ。
きな臭,1,ここいらもきな臭くなってきたが。
きな臭く,1,ここいらもきな臭くなってきたが。
きみ,1,きみたちの協力もあって復興は早く進みそうだよ。
きめ細か,1,遠目で見てもわかる、戦場でも褪せない清廉な蒼髪きめ細かな肌。
きゃーーーー,1,あっわっきゃーーーー。
きら,1,あきらめるな。
きらきら,1,撒きあがった雪がきらきらと反射してとても神秘的な光景だった。
きらめい,1,いい絵だ、胸に掲げた剣が太陽を反射してきらめいて。
ぎこちなかっ,1,ああだから少しぎこちなかったのか。
くぅっ,1,くぅっ。
くお,1,よろしくお願いします王子。
くくっ,1,首くくった方がマシだぜ。
くぐり抜け,1,以前より、死線を共にくぐり抜けてきた部下たちですが。
くぐる,1,まさか、城門をくぐる日が来るとは思わなかったぜ。
くこ,1,この私が膝を突くことになるとは。
くご,1,息があるイレニア様よくよくご無事で。
くじ,1,くそ、しくじった退かせてもらうよ。
くじく,1,ベレンガリア戦後、三角獣傭兵団を再結成するドラケンガルド王から王立騎士団とする誘いを受けるもそれを断るその後仲間を増やし、世界各地を飛び回っては弱きを助け強きをくじくために戦った後年、フェブリスではその名を知らぬ者のない傭兵団となり後世に語り継がれることになった。
くすね,1,これは敵の物資からくすねたものだ進軍に役立つなら持っていってくれ。
くすぶる,1,耐え続けてもなんも変わんねぇだろくすぶる日々はもうごめんだ。
くせえ,1,邪魔くせえ始末してこい。
くそう,1,くくそうか。
くたばっ,1,そうだよな、アレインの旦那アンタがくたばってるワケがねえ。
くたばら,1,あたしも兄貴も簡単にくたばらねぇよ砂漠の民はしぶといって知ってんだろ。
くたばりゃ,1,まぁあんたみたいな堅物そう易々とくたばりゃしないだろう。
くだ,1,お通りください。
くだせ,1,いや、最後はダンナに任すぜさあ決めてくだせえ。
くっく,1,くっくまさか枕の下にあるなんてな見つかってよかったじゃねえか。
くどい,1,くどいわねもうこの体は私のもの。
くねくね,1,ハハハッホントにくねくねすんだな面白えもん見れたぜ。
くねっ,1,首が常にこそばゆく体がくねってしまって。
くま,1,そういうわけにもいくまい。
くらまさ,1,生きていることがわかったのに行方をくらまされては元も子もない。
くりゃ,1,ここまでくりゃあ俺もお前を信頼してる、そこらの奴らよりもな。
くり出し,1,まさか私が冗談で説いた技を手合わせでくり出してくるとは。
くれえ,1,誰か誰か助けてくれえ。
くれぐれ,1,姉のことくれぐれもよろしくお願いします。
くれりゃあ,1,終わったぜ礼は酒でも奢ってくれりゃあ40んどうした。
くれん,1,櫛でといてくれんのか。
くわえ,1,敵は大軍だがこちらも指をくわえて待っていたわけではない。
ぐちぐち,1,何をぐちぐち悩んでるんだい。
ぐは,1,ぐは。
ぐれ,1,気まぐれかそうだな。
ぐんと,1,あいつが来てから砂漠で早死にするガキがぐんと減ったすげえ奴だよ。
け,1,だけど。
けっ,1,そ、それだけってそれじゃだめなのか。
けー,1,そらっ飛んでけー。
げえ,1,すげえ鎧や盾に頼らず戦うカッコいいぜ。
こいわ,1,このしっつこいわねぇ。
こく,1,調子こくのも大概にしろよテメエ。
こそばゆい,1,肌に触れるとこそばゆいでしょうそれが苦手なのです。
こそばゆく,1,首が常にこそばゆく体がくねってしまって。
こたえる,1,くそ持ちこたえるのもそろそろ限界か。
こだわっ,1,てっきり、服装にこだわってるからだと思ってたぜ。
こだわる,1,レックスどうしてそこまでこだわる。
こちら側,1,私も要塞をこちら側から見るのははじめてですな。
こっ恥ずかしい,1,ハァこういうこっ恥ずかしいのはガラじゃねぇんだけどよ。
ことごとく,1,世にはびこる悪の一切をことごとく焼き払わん。
こないだ,1,他の奴らもしばらくは追ってこないだろう。
こなせ,1,フラウの家ではみんなグリフォンを乗りこなせるのか。
こまねい,1,わからん理由はともかく手をこまねいていても仕方がない。
こやつ,1,こやつ一人では危険だ。
こよなく,1,国中の民からこよなく愛されたという。
こらえ,1,キトラは彼らの言葉を真摯に受け止め内なる衝動をこらえましょう。
こりゃあ,1,ななんだよこりゃあ。
ころころ,1,仕える相手をころころと変えおって。
こわい,1,ボク洞窟がこわいんです。
こんにちは,1,こんにちは。
こんばんは,1,あウメルスさん、こんばんはあなたも眠れないのですか。
ごい,1,すごい暑さだな。
ごくん,1,もごっむぐごくん。
ごたごた,1,解放軍に入った時、ごたごたして母さんに挨拶もできなかったからさ。
ごちゃごちゃ,1,そもそもよ、ごちゃごちゃ悩むのが柄じゃねーよな。
ごっこ,1,鬼ごっこしましょ。
ごらん,1,ごらんのとおり先の戦線では甚大な被害が出た。
ごろごろ,1,ありがとう具材がごろごろとしておいしそうだ。
ご免,1,俺が教えたことがバレて、余計なとばっちりを食らうなんてご免だぜ。
さぁん,1,モルドンさぁん聞いてますかあまだお話は終わっていませんよ。
さえぎる,1,道中この城門が行く手をさえぎる。
さえずる,1,あとは牢番相手にさえずるがいい。
させん,1,そうはさせん。
さぞかし,1,コルニアの出である閣下もさぞかしおつらいのでは。
さだ,1,すごい暑さだな。
さっ,1,ほらさっさと来い。
さなぎ,1,入れ墨おぉ言われてみりゃ肩に蝶のさなぎみてぇな模様が。
さる,1,ウメルス様は今後どうなさるのですか。
さんざっぱら,1,ゼノイラ兵には資源や食い物をさんざっぱら搾り取られたものじゃ。
さア,1,イイさイイさアタイも楽しかったしね。
さーて,1,さーて宴を楽しんだあとはまた仕事に戻らないとな。
ざま,1,大口叩いてこのざまじゃあ仕方ないか。
しお,1,少しお話してもいいですか。
しかた,1,それもしかたのないこと。
しかっ,1,あれは寂しかったな。
しかめっ面,1,紅茶を飲んでるとは思えないしかめっ面だけど。
しがない,1,俺たちゃしがない傭兵だぜ。
しがみつい,1,みんなに必死にしがみついてここまでやってきたんだけど。
しきたり,1,私の家では、女子は薔薇騎士団に入らせるのがしきたりなのですが。
しくじら,1,おう俺たち全員の未来がかかってんだ絶対にしくじらねえ。
しげく,1,私が民を抑圧していた時も、彼らは歌うために教会へと足しげく通った。
しごか,1,ああ、隊長のもとでしごかれたっけな。
しっしっ,1,あっち行ってなしっしっ。
しつけえ,1,しつけえなお前なんざ知らねえって。
しでかす,1,ホドリック坊といい、先々代の王の城はいろいろしでかす小僧が多かった。
しぶてえ,1,チッしぶてえ野郎だ。
しまわ,1,あっああ行ってしまわれました。
しみる,1,ぜんぜん眠れてねえんだが朝日の眩さが目にしみるぜ。
しめ,1,見事だなかなかに愉しめたぞ。
しもう,1,もう少しもう少しです。
しゃ,1,しゃあねえな。
しゃあ,1,しゃあねえな。
しゃあねえ,1,しゃあねえな。
しゃきっ,1,お前の面に泥塗らないように俺もしゃきっとしねえとな。
しょい込み,1,だけど一人でしょい込みすぎだ俺にも手伝わせてくれ。
しょせん,1,イレニアが聡明ったってしょせんは女だろ。
しろい,1,これはおもしろい。
しん,1,悲しんでる困ってるうーんなんで。
しんみり,1,周りは歓声に沸いてるってのによこっちまでしんみりしちまった。
じまい,1,でも棘は抜けずじまいね大見得を切ったのに、ごめんなさい。
じゃぁ,1,じゃぁまずはここだこうすることでさらに強度が。
じゃが,1,ワシの名はバルトロ残念じゃが手遅れだったな。
じゃれる,1,霊たちがじゃれるように私に悪戯をしその不注意で瓦礫が落ちたようです。
じゃア,1,これじゃアレインの声も届かない挑発した奴に向かっていくぞ。
じょ,1,じょ、ジョセフ様。
じろじろ,1,ちょちょっと、じろじろ見ないでよ僕は僕の顔は好きだけど嫌いなんだ。
すかい,1,こりゃ貴重な品ですかい。
すかっ,1,イレニア様の時代は暮らしやすかったよ。
すがる,1,あんな、必死に姉貴にすがる姿王の御前でカッコつかないぜ。
すぎれ,1,だが、初めから気張りすぎればいずれ心身に支障が出る。
すく,1,一度試すくらいなら。
すくめる,1,身をすくめるようにして生きるのはいい加減疲れましたよ。
すぐさま,1,戦争に勝てど、町々がすぐさま復興し平穏な営みを送れるわけではあるまい。
すげー,1,おおっ、すげー足場が浮かんできた。
すす,1,すすま、ないだが体が勝手に動いた。
すすま,1,すすま、ないだが体が勝手に動いた。
すすみ,1,これは食事がすすみそうだありがとう、感謝する。
すそ分け,1,ほほう、これは部下にもおすそ分けしてやろう。
すな,1,逃すな行け。
すみません,1,すみません。
すりゃあ,1,この槌じゃ無理だどうすりゃあアレインを救える。
すり傷,1,すり傷の絶えない私たちを母はいつも見守ってくれていました。
すり寄っ,1,ある意味、賊の足止めにはなったが大勢の猫たちが足にすり寄ってさ。
すり潰せ,1,行くぞ敵を残らずすり潰せ。
すんげえ,1,俺、それがすんげえかっこよく見えてさ。
ずらかる,1,ええいやむを得ん仕切り直しだ、ずらかるぞ。
ずらし,1,お前が像にいたずらしていたからだあれは仕方ないぞ。
せいじゃ,1,違う姫のせいじゃない。
せいぜい,1,ハハッ、アンタらしいせいぜい死なないことだね。
せがれ,1,どいつも生き急ぎよってせがれの分も頼むぞ、ゴービル。
せせらぎ,1,ここは川のせせらぎが心地よい穏やかで静かな町。
せびり,1,ああ、アンタはモルドンだね酒代でもせびりに来たのかい。
せりゃ,1,爺ィに言わせりゃ出来損ないだったようだけどね。
せん,1,許せん。
ぜっ,1,美人な大人の女性が相手だってぜったい負けないんだから。
ぜったい,1,美人な大人の女性が相手だってぜったい負けないんだから。
ぜめ,1,俺ももちろんそう思ってるぜめでてぇな、アレイン。
ぜー,1,とーちゃんが獲ってくる魚はうまいんだぜー。
そそが,1,オーバン戦が終わると、賜った褒賞をすべて砂漠の民のために寄付し、自らも故郷の復興に努めた彼と仲間たちの熱心な活動の甲斐あり後に砂漠の地は大いに栄え元流刑地という汚名もそそがれたその後、自分の船を手に入れた彼は大海原へと冒険の旅に出たという。
そそっかしい,1,余計に元気でそそっかしい人間になりそうで嫌ね。
そびれ,1,お料理に夢中になっていたら記念硬貨を貰いそびれてしまって。
そら,1,おそらくな。
そらっ,1,そらっ飛んでけー。
そらんじ,1,だが私の昔の言葉を一言一句違わずそらんじたお前は。
そんじょそこら,1,それはそのアレインはそんじょそこらの男とは違うから。
ぞい,1,次は踏破率50を目指してくれい引き続き頼むぞい。
たぁ,1,ちょっと待ったぁクロエにそれはぜっったい似合わねーだろ。
たがり,1,今も私の傍で戦ってくれる同輩はそれについて語りたがりませんでした。
たぎら,1,炎をたぎらせし者たちよさあ我に力を示せ。
たぐい,1,まだ盗賊のたぐいはおりますが治安は確実に良くなりました。
たげ,1,何か言いたげねお前はこの戦に反対なの。
たしなめ,1,駆けつけたアレインにたしなめられ事なきを得たという。
たたっ,1,いつか無理がたたって大事に繋がるんじゃないかって。
ただただ,1,戦いは何も生まぬただただ血が流れるだけじゃ。
ただ中,1,俺は俺たちは今、英雄伝説の時代そのただ中を生きてるのかもしれない。
たっ,1,騎士団にいたって。
たのむ,1,ああ、たのむ。
たまーに,1,たまーにだがよぉ鉱石より貴重なものが出てくるんだ。
たむろ,1,ゼノイラに雇われた魔術師どもがそこの遺跡を拠点にたむろしている。
ためらい,1,ダイナたちを大切な人を守るために俺の体はためらいなく動くだろうな。
ためらわ,1,タチアナはそういうのためらわずに言ってくれるだろ。
たらし,1,ロザリンデ様も巫女の候補だったらしいわ。
たるい,1,まったく、たるい男だねさっさとかかってきな。
たんと,1,あと飯もウマいぜたんと食って体温めていきな。
たんまり,1,マゼランのやつたんまり恨みを買ってやがるな。
たー,1,したーーーーーーーいし。
たーーーーーーー,1,したーーーーーーーいし。
だあれ,1,お前が像にいたずらしていたからだあれは仕方ないぞ。
ださ,1,まだまださ。
だせ,1,教皇様が心配だせめてお姿を一目でも。
だせえ,1,いや、最後はダンナに任すぜさあ決めてくだせえ。
だそう,1,なんだそういうことでしたか。
だろっ,1,それじゃあ貴婦人扱いだろっ遠慮しとくわ。
だろー,1,だろー俺も腕を上げたんだパン屋をやれるかもな。
ちぇ,1,ちぇっ、わかったよ酒はこの辺にしておくか。
ちぇっ,1,ちぇっ、わかったよ酒はこの辺にしておくか。
ちか,1,けどそうか、やきもちか。
ちぎっ,1,あのころと一緒にしてもらっちゃ困るじゃあほら、ちぎって半分こにしよう。
ちげえ,1,いやちげえんだよ姉御それが、末端の傭兵たちがさ。
ちちち,1,ち、30ちちち違ぇよ。
ちっさい,1,驚くかもしれないがアタシはちっさいころ、いじめられててね。
ちっぽけ,1,ちっぽけな鼠族の俺がひと時でも大将になれたなんてな。
ちゃぁ,1,あちゃぁ気づかれてたか。
ちゃあ,1,まぁ、よそ者にしちゃあまともなんじゃないかい。
ちゃお,1,ありがとう騎士様へへ、自慢しちゃお。
ちゃおう,1,いいのそれじゃあお願いしちゃおうかな。
ちゅう,1,なんちゅう威圧感だ思わず萎縮しちまうぜ。
ちょこまか,1,こいつちょこまかと。
ちょちょっ,1,ちょ、ちょちょっと待ってくれて、照れてきたので、それ以上は。
ちょっかい,1,人にそうやってちょっかいを出すその性格私にはよくわからないわ。
ちょっぴり,1,私には、大きくて優しくてちょっぴり怖い、そんな人で。
ちょろい,1,ふん、ちょろいもんだぜそのまま進軍の手を緩めるな。
ちらちら,1,何をちらちらと見ている。
ったって,1,アレインを乗っ取ったってのかお前。
っつ,1,このしっつこいわねぇ。
っぺ,1,ほとんどお前が言い出しっぺだろ。
っぽ,1,な湿っぽい話はナシにしようぜ。
っぽかっ,1,アレイン陛下即位おめでとうすごく王様っぽかったよ。
ついぞ,1,ときにフォドキア様に降伏を迫った輩ついぞ姿を見なくなったのう。
ついばま,1,さっきから髪を力強くついばまれている。
つかさ,1,それじゃあみんなに愛想つかされていつかひとりになっちゃうわよ。
つかん,1,すごいな、手慣らしとはいえ他の鶏とまったく見分けがつかん。
つきもの,1,何かを為すには犠牲はつきもの私はそれを理解している。
つくせ,1,敵の兵器部隊を撃破したぞそのまま残党を狩りつくせ。
つくっ,1,なんだとベルトランの側につくってのか。
つくり,1,顔のつくりは母さん似でさそれは嬉しいことだけど。
つけまわし,1,俺を見つけようもんならつけまわして復讐でもしようと。
つけ入る,1,強固な要塞につけ入る隙があるとすれば、そこかもしれません。
